Description,Vague/Not
"Studio for Rent
Located in a Building in Elmhurst.$1400 Heat included
For more information please call 718426890",0
"Great Corner office with North and Eastern windows. Be the first to occupy a newly renovated large private office on the second floor of a beautiful historic building.


861 Manhattan Ave and Milton Street.

The space has 13 foot ceilings and huge 8 ft windows that face North and East which receive incredible unobstructed morning light! Great for early risers!

You will have to pay your own electric and internet. Heat is included, but air conditioning is not. Building has both Verizon FiOS & spectrum cable.

Beautiful historic building which won the NYS historic preservation award and the Lucy G Moses award.

Get in now at the unrenovated price and lock in a great deal.

Landlord will sign a long lease or go month by month.

Flexible layout.

Call or text Jordan 516 655 6247
No broker fee.

Brokers welcome, will pay commission.",1
"No fee!

Brand New Modern Luxury Building in Prime Bushwick!

Multiple units and layouts available.

Lux 2 Bedroom Duplex Luxury Unit w/Private Roof Terrace.

Private Parking. Newly renovated. Virtual Doorman Laundry in building. Roof access.
All featuring; Airy loft layouts, vinyl floors, SS appliances, Central Air and Heat.

Surrounded by convenient neighborhood amenities, galleries, restaurants, coffee shops and bars too.

All of this an Easy 15 minutes to downtown Manhattan via the J Express train.

Net Effective Pricing Based on 4 Weeks Free on a 12 Month Lease Agreement. Gross $3800.00

Text 424-395-9243 to schedule a viewing !",1
"Room for rent in Modern apt with tons of amenities. Nearby subway station is the Gates Av J Train. This place is a gem! Beautifully designed bedrooms + everyone gets their own bathroom, a common space perfect for intimate gatherings, a kitchen with all modern appliances including a laundry room in unit, windows throughout the space. Inviting and lots of natural light. Private backyard solely for this apt. 

If you're interested, Please email me for further details with personal(phone number/email). thanks for your inquiry!",0
"LUXURY UNIT in Brand New Construction building with an elevator!!

4br Duplex with 2 marble baths and two balconies !
Unique styled kitchen with stainless steel appliances and dishwasher

Tons of natural light
Central AC
Hardwood Floors 

*****NET PRICE **** 6 WEEKS FREE **** MONTHLY RENT $4445 *****
0.5 miles walking distance to the A\C train
0.3 miles from Pratt4

Laundry in the building

Lots of restaurants and 2 parks are a few block away

No Brokers Fee 
Pets upon approval
Guarantors are welcome



To View Or Virtual Tour 
Feel Free To Contact Email - Text - Call",1
Nice golf course lot with water way along back of property on fairway and green. Premium lot. Will build to suit or sell lot.,0
"1BR available in a 3BR/2BA apartment in Woodside, NY
 - 2nd floor walk up
 - Very large bedroom with great lighting and air flow. Room has large closet and personal balcony overlooking backyard. Room is approximately ~200sq feet. 
 - Shared space is kitchen and living room area. 2 full bathrooms are in the apartment. 
 -2 other roommates currently reside there. They have lived there for many years. One is a doctor and the other is a NYC school teacher. Both are mature, responsible and quiet. 

House is conveniently located 3 blocks from Northern Blvd (R, M) train station and 6 blocks to 61st (7) train station. 15 minutes to Manhattan. Parking spot is available for additional cost. 

Apartment is available September 1st. 
Ad is placed by landlord to assist current tenants in finding roommate to sign 1 yr lease. 

If interested, please email me a bit about yourself, any questions you may have, and your phone number. I will call you to set up a showing. 

Thank you,
Sandy",1
"146-32 229 St Springfield Gardens NY 11413 $649,000
3 Bedrooms, 2 Full Baths, Formal Living Room, Formal Dining Area
Hardwood Floors Throughout, Recessed Lights
New Tiled Kitchen With Granite Counter Tops, Backsplash
Brand New Stainless Steel Appliances - Stove, Refrigerator, Microwave, Dishwasher Full Finished Basement With 1 Bedroom, Full Bath, Laundry Area, Separate Entrance
Private Driveway For Multiple Cars, 2 Car Garage, Huge Backyard,
Lot Size: 50x100
Nearby: Q111 Bus, P.S. 181, Brookville Park, Belt Pkwy
For more information, please contact GSR",1
"31 year old resident physician looking for a roommate to split a fully furnished house. 15 minutes from the beach. Great neighborhood. I'm clean, quiet, and respectful. I am looking for the same :)",0
Buy fix or hold on to this large building with 6 unit 5 apartment and a nice commercial space at street level for your business. Property Needs works selling property as is in the condition is in. Address 69 w main st Glen Lyon PA. Cash buyers call,0
"This is a two bedroom apartment. Renting out one bedroom. 5 min walk to the F train (Ditmas Ave stop). Utilities included. LGBTQ+ friendly

- Furnished 
- Lots of closet space
- High ceiling
- Open kitchen & dining area 
- Dishwasher in the unit
- 10 steps to the laundry room

Couples are ok. Rent for couples $1550",0
"I have tbe best golf course lot here, at eagle rock. On the 10th fairway at the green with WATER Canel between U and fairway. Very quiet and relaxing. Beautiful. Call for more details. David 
.",0
"This is a two bedroom apartment. Renting out one bedroom. 5 min walk to the F train (Ditmas Ave stop). Utilities included. LGBTQ+ friendly

- Furnished 
- Lots of closet space
- High ceiling
- Open kitchen & dining area 
- Dishwasher in the unit
- 10 steps to the laundry room

Couples are ok. Rent for couples $1550",0
"Enjoy summer to the fullest, swim in ingrown pool, access to Manasquan river, enjoy kayaking, fishing, boating, sunsets, no outlet quiet street, no flood insurance needed . 2000+- square foot home with open floor plan, home has been redone, windows brand new hot water beater new gas boiler with comfortable baseboard heat, hard wood floors, 42inch cabinets. To much to list",0
"138-37 250th street, Rosedale, NY 11422 $589,000
Huge corner lot
3 bedrooms, 1 full bath
Full basement w/ separate entrance
Private driveway
Detached 1 car garage
School district: Queens 29
Lot size: 5,000 sqft
Near Green Acres Commons, South Conduit Avenue, and Hook Creek Blvd
For more information, please contact GSR",0
"BEAUTIFUL OFFICE UNION SQUARE FOR RENT 
SHORT TERM OR LONG TERM
AC/HEAT TENANT CONTROLLED
KITCHENETTE
HARDWOOD FLOORS 
OPEN SPACE",0
"Huge Price Reduction! 

Residential Vacant Lot For Sale in a Prime Location of Throgs Neck, Bronx Where NYC Ferry Service is Planned to Extend and Launch in 2021! Enjoy a Convenient Ferry Ride to the Upper East Side, Midtown or Wall Street For the Price of a Subway Matrocard; only about 20 Minutes Ride to Upper East Side & about 35 Minutes Ride to Midtown! This Vacant Lot is Conveniently Located Right Off Of Cross Bronx Expressway & Throgs Neck Expressway. 24 By 100 Sq Feet of Lot Size, .06 Acres, R4 Zoning With .9 FAR. There Was a Structure on the Land Which is Now Fully Demolished Saving You On Tear Down Expense. This is a Great Area to Build a Home For Your Family or For an Investor/Developer Who?s Looking to Build an Investment Property. Call For More Information, Will Not Last! 

Call/ Text Or Reply To This Ad With Reference P 


Joseph Noor
First Time Home-Buyer Specialist 
Direct: 

www.TopLevelProperties.com
Stop Paying Your Landlord?s Mortgage & Own Your Own Home!",0
"I have tbe best golf course lot here, at eagle rock. On the 10th fairway at the green with WATER Canel between U and fairway. Very quiet and relaxing. Beautiful. Call for more details. David 
.",0
"ROOMMATES WANTED

MOVE-IN DATE: Aug 1st 

LOCATION: East 10th Street and 2nd Ave


PUBLIC TRANSPORTATION: 
Astor Place: 6 train(8 min walk)
1st Av: L train(8 min walk)
8th St: N and R train(10 min walk)
14th St-Union Square: L, 4, N, Q and R trains(12 min walk)
2nd Av: F train(12 min walk)

NEWLY Renovated 4 Bedroom apartment in this walk-up building(3rd floor). SPACIOUS open space concept for the living room that has a MODERN exposed brick wall design for you to get the CITY feel while you relax and feel at home! Location is close to many convenient businesses and take out spots also only a 13 min walk to union square park.

Amenities include:

GREAT NATURAL LIGHTING
STAINLESS STEEL APPLIANCES
DISHWASHER
MICROWAVE
WASHER AND DRYER MACHINE
MONTHLY CLEANING SERVICE

Rooms Available:

First Right Room (Twin-Size Bedroom: 61 sq ft): $1635

(9 1 7 ) 7 4 0 - 9 6 6 5 
MUST BE ABLE/HAVE:
- Commit to a 1 yr lease 
- $69,000+ Annual Salary
- 650+ Credit Score
- Or guarantor w/ annual income of $138,000+ and 700+ credit score
Just First and Security.... best of all, NO BROKER FEE :)

**put “third floor” in your message so I know you read the ad**


**VIRTUAL SHOWING AND VIDEO AVAILABLE**",1
"Corner of 106th St & Broadway

Ground floor: ~ 1,650 sq ft

Full basement

11.5 ft high ceilings

~ 30 ft of wraparound frontage

Off Market Upper West Side restaurant/retail

Vented

All uses considered

No fee

Motivated landlord open to creative deal structures

Steps away from the 1 train

Please email for rent",0
"FOR SALE BY OWNER. 6 Acres Tucson. Az. $469,000

Beautiful property! Lots of old-world charm! Restore to your needs and likes. Will be so beautiful when finished. Great views in every direction!
Home is sold as is, no repairs will be done by seller.

Tranquility.
Fix it up according to your wants. Add to your liking and much more to offer than the average fixer upper. Well built home. Plus precious land and views.

******Would be great for a Riding Academy, Horse Sanctuary, horse rescue, habitat for small animal rehab.****** more possibilities.

Open the Door to This Rustic and Charming Burnt Adobe Ranch Home.Surrounded by all natural desert vegetation landscape. Interior all rustic, beam ceilings, all wood and double red brick.
Unparalleled views of the Tucson Valley and its mountain ranges.
true desert living in the Tucson Mountain Foothills with views in every which direction! Very private, quiet serene setting close to the Sweetwater Preserve for your hiking biking enjoyment.


Stunning views from every window in this custom-built southwestern home built in 1956. Nestled in the beautiful Tucson Mountains on over 6 acres. Interior is completely rustic-wood beams throughout home, tongue and groove wood interior. Wells fireplace. Floor to ceiling living room bookcase. Gas,Electric,Tank-less water heater. 3 bedroom 2 bathrooms. Separate room for storage and or rec room, 2 car-carport.

Private country setting but close to I-10 freeway and downtown Tucson. No deed restrictions or HOA. SR (Suburban Ranch) Zoned.
Elementary school very close. Must see to truly appreciate the excellent location; quietness, and above all-very Spiritual with nature.

Majestic sunset and panoramic views! Quiet country living in this nice 3 large bedroom home horse property. Possibilities galore. Lots of Saguaros on property.

There is room to build / rebuild a new home or fix up and reuse this as a guest house or rental. Lots of room on 6 acres for any venture-Horse and small animal sanctuary etc.

Bring the Horses and ride for miles around the peaceful neighborhood dirt roads or into the nearby park. Perfect tranquility and solitude amidst the natural beauty of the Sonoran desert.

Horse facilities have electricity, water and plumbing, covered 8 stall breezeway barn,heavy duty large oval arena & round pen, tack room,hay room,wash rack.

Beautiful sunrises over the mountains and gorgeous sunsets to the west. Direct access so many riding trails.",1
"I have tbe best golf course lot here, at eagle rock. On the 10th fairway at the green with WATER Canel between U and fairway. Very quiet and relaxing. Beautiful. Call for more details. David 
.",0
"I am looking for a roommate to move in September 15th (flexible), to rent the unfurnished bedroom in a spacious 2BR/2BA apartment on the second floor. Super close to Prospect Park. My current roommates wanted a dog, which the building doesn't allow. NOTE that the pictures are all of their stuff. If you have furniture+cookware, that's great. Otherwise, the apartment will feel bare until we decorate.

I am a considerate and clean 32 year old male software developer. I am quiet, except when playing the viola (at respectful and negotiable hours). I am working remotely now. I usually keep to myself, but can be easily drawn out with board-games, philosophy, science, or cat videos.

6 minute walk to Prospect Park 
4 minute walk to the 2/3 @Brooklyn Museum
7 minute walk to 4/5 @Franklin Ave
12 minute walk to Q/B @7th Ave

Amenities: 
Central A/C and Heating
Doorman with package drop off
Elevator
Laundry right outside our door (audible, but not bothersome) 
Dishwasher
On a quiet sidestreet

The bedroom: 
11 by 11.5 feet 
1 north-facing picture window with street view
1 large closet in room, 1 small closet just outside the room, 1 large hallway closet
Bathroom is just outside the bedroom (in the common area, but not shared)

No pets in the building

Building management requires a detailed application process. If interested, please reply to this ad. Please including a brief introduction, some times when you could view the apartment (in person or by video) and any questions you have.

Rent: $1350 + utilities (~$100 each)
Security Deposit: $1350",1
"Come see this luxury high rise 1 bedroom apartment for rent. This unit has been recently renovated. The building is pet friendly, has G/E included in the maintenance, along with 24 hour doorman. A Must See!

www.SellMyCoop.com
www.WhyNaomi.com


Call For An Appointment!
Naomi Klein
Broker/Owner
61-43 186 St.
Fresh Meadows, N.Y. 11365

Forest Hill Coops For Sale, Apartment Rentals, Homes Rentals, High Rise apartments, Condos For Sale",0
"New 2BR 1 Bathroom apartment on the downtown BK/Fort Greene/Boerum Hill Border. 

- 5 minutes to Trader Joes, Target, and Whole Foods
- B, Q, A, C, G, 4, 5, 2, 3 Trains all within 5 minutes walk
- Fort Greene Park 10 minutes walk
- Dog-Friendly building
- Beautiful amenity spaces
- Stainless Steel appliances
- Walk-in closet
- Washer/Drier in unit
- Beautiful views of East River, Williamsburg Bridge, and Long Island City",0
"New residents only can receive up to two months of free rent with a qualified application, ask for details. Price advertised is net effective of 2 month’s free rent on an 18 month lease at $2800 per month. Multiple lease terms may be available, don’t hesitate to tell us what you are looking for!”
*gross rent 3,150*

Large 2 bedroom apartment in a UES elevator/laundry building/part time doorman.The living space gets good natural light. Each room is equipped with a built-in A/C unit and hardwood floors.

The kitchen is renovated with a full range of appliances including a dishwasher.

The building has a part-time doorman and there is laundry in the basement.",0
"Call now, Furnished Room Available, Extra Large rooms, clean, quiet place. Bad credit, good credit, 
Female preferred .

Metro -north, 20 min to manhattan, close to everything. 
One private Rooms, $200.00 and includes utilities & water
STREET PARKING 
 
Call now/ 



No kitchen, none smoking, clean record.



FEMALE PREFERRED, 

Call Simone",0
OPEN HOUSE SELLING THIS PRIME REAL ESTATE HOME 2 FAMILY AT 1548 COLEMAN ST BROOKLYN NY 11234 TAKING OFFERS OPEN HOUSE. DETACHED TWO CAR GARAGE AND PORT BASEMENT . ALL THE CONTENTS ARE ALSO FOR SALE SUNDAY 10 AM -3 PM,0
"545 White Plains RD, Bronx, NY 10473 $459,000
1st Floor: Living /dining room, kitchen, closet
2nd Floor:3 bedrooms, full bathe
Finished Basement With 1 BR,1/2bathe, laundry area and utilities
Lot Size:18x100
Lot Sqft:1800
Taxes: $3,557.00
Cross Street: Randall Ave
Directions: off white plains road between Lacombe Ave and Randall Ave.
School District #8
For more information, please contact GSR",0
"Call now, Furnished Room Available, Extra Large rooms, clean, quiet place. Bad credit, good credit, 
Female preferred .

Metro -north, 20 min to manhattan, close to everything. 
One private Rooms, $200.00 and includes utilities & water
STREET PARKING 
 
Call now/ 



No kitchen, none smoking, clean record.



FEMALE PREFERRED, 

Call Simone",0
"REGISTER TODAY AT WWW.MOVETODAYNYC.COM then
Call SIX4SIX.515.1123 TO MAKE YOUR MOVE.

While everyone else's doors are closed, we're open for you. We offer gift card services so you can gift or redeem your membership today and use it at any time. We’re here to help you at www.movetodaynyc.com
Stay safe, healthy, and happy. 

💟ALL PROGRAMS/VOUCHERS ok💟 
www.movetodaynyc.com 

TAKE VIRTUAL TOURS OF AVAILABLE APARTMENTS.

3br Queens
https://youtu.be/g9_1ruq6xhA

1br Washington heights 
https://youtu.be/yEvAH_NZczI

4br harlem
https://youtu.be/AU_UJx_oT68

LARGE HARLEM STUDIO
https://youtu.be/o9TgAXnipO0

1br Brooklyn 
https://youtu.be/Dpp4uAD6pTI

1br bronx
https://youtu.be/TJWM75C1r7g

Alcove studio in Harlem 
https://youtu.be/pNqEzvjxrpQ

LOFT DOWNTOWN BROOKLYN 
https://youtu.be/I_Hp8YaYsck

3br Brooklyn 
https://youtu.be/KHd_zbjqutQ

1 5br Washington heights 
https://youtu.be/Svc2tteS-ug

1br staten island 
https://youtu.be/6VWYNPjZge8

1Br Brooklyn 
https://youtu.be/Upu628eObzU

1br harlem
https://youtu.be/ruCmwFWevAg

Large 1br Harlem
https://youtu.be/hfXYCNe8dK4

1br Lower Manhattan 
https://youtu.be/PMa1WXjB3ks

2br Queens
https://youtu.be/FpeLGXsHh4g

2Br Brooklyn 
https://youtu.be/VOeSCjlIt98

1.5Br basement in house Bronx
https://youtu.be/z9t1E5wZOus

2Br forest hills
https://youtu.be/6bLiezLFKdY

1Br JAMAICA 
https://youtu.be/9F9jLdJbeoc

‐-
Furnished studio and 1brs Village NYC
https://youtu.be/0VcQn8gh6k8",0
"$990 - Large bedroom with balcony and closet on border of Bed Stuy and Bushwick available for September 1 move in. Overlooks beautiful backyard. Utilities are not included. Close to many bars, grocery stores. Located between Myrtle Broadway J/M/Z and Central M. Must be ok with gentleman cats of relaxed disposition. Overlooks gorgeous backyard. 420 friendly. 

Landlord asking for the usual (good credit, income) - flexible but still have requirements. 

Please include a bit about yourself - hobbies, lifestyle, living preferences, etc


Roommate 1: musician, cat dad, relaxed and open, OG lease holder.
Roommate 2 (OP): entrepreneur, plant mom, extroverted and sociable, new to the apartment.",1
"Features:
Dishwasher
Mirrored closet
Bright interior and Open Layout
Ceiling Fans
Hardwood floors
French doors

Prime Greenpoint location on Norman avenue and Diamond street. Within easy reach to the Nassau G Train station. Available to move in on September 1, 2020.

Call, text or email right away to schedule a private showing, 917-864-2398.",0
"VERY SPACIOUS, FULLY RENOVATED BRAND NEW 3 BDR 2 BATH IN A FULL SERVICE DOORMAN BUILDING IN THE HEART OF MURRAY HILL
KING SIZE BEDROOMS, VERY LARGE LIVING ROOM, GREAT NATURAL SUNLIGHT AND VIEWS
LARGE KITCHEN, GRANITE COUNTER TOP AND FULL APPLIANCES
LARGE MARBLE BATHROOMS
HARDWOOD FLOORS AND GREAT CLOSETS SPACE!

FULL TIME DOORMAN, FITNESS CENTER, SWIMMING POOL, FURNISHED SUNDECK, ELEVATOR, LAUNDRY ROOM, LIVE IN SUPER, PACKAGE ROOM, VALET SERVICE, PARKING.

PLEASE CONTACT ME TO SET UP A VIEWING",0
"Son dos dormitorio primer piso en un building cerca al tren (A) por liverty ave y Leffert Blvd en el corazón de Ozone Park. 2 dormitorio, sala,cocina, baño y piso de madera. 2 bloque del tren y los buses Q110 y Q37. Para una cita llamar o dejar un texto con parte de su información como los pay stubs, W-2 form, ingreso anual y crédito (718)207-3303",0
"91-03 215th pl, Queens Village NY 11428 $665,000
3 Bedrooms, 1.5 Baths, Living Room, Dining Room
Hardwood Floors Throughout, Recessed Lights, Baseboard Heating
New Tiled Kitchen with Granite Counter Tops, Backsplash
Brand New Stainless Steel Appliances - Stove, Refrigerator, Microwave, Dishwasher
Full Finished Basement with Full Bath, Laundry Area, Separate Entrance
Wide Private Driveway Leading to Spacious Backyard
Lot Size: 30 x 100
Nearby: Q36, Q1, Q27, Q88 Buses, P.S. 33, Shops on Hillside Ave
For more information, please contact GSR",1
"Renting a beautiful Clean room in a small boutique spa In manhattan! Perfect for lashes, waxing , or just about any other beauty related treatment. Room includes a sink and a cabinet. 
❤️Newly painted
❤️Beautiful waiting area",0
"3 DORMITORIOS
SALA/COMEDOR
COCINA
BAÑO
TODO RENOVADO",0
"This large 1 bedroom with 2 bathroom 1-full 1-1/2 bath APT: High floor with East River views
Works better for a guy roommate-IF YOU SEE THIS AD-IT MEANS STILL AVAIL. email when you want to see

TO SHARE ----------------- EMAIL when you want to view
AMENITIES:
Doorman/Concierge Desk/Laundry on the first floor/and washer dryers on all floors
Indoor swimming pool/gym/sauna/lounge with wifi area
Roof top with chairs. 
1 1/2 blks from Grand Central Station--------------IMMEDIATE OCCUPANCY
No Pets

The one bedroom will be ""occupied by male owner"".
The tenant will live in the large living room. Sleep on a sofa-have a separate eating area 1/2 bath 
large closets and kitchen and large terrace with great views
""will not wall off or put bed in living room""",1
"Studio basement apartment for rent available immediately. Good for 2 people. Heat and hot water included. If interested please call us, 
. Thank you.",0
"2524 E 28th St, NY 11235 - $750,000 
Needs Work!!!
3 Bedrooms, 2 Full Baths, Lr/Dr, Kitchen
Private driveway w. Garage
Lot Size: 1,992 Sq ft
School District #22
Taxes: $5,277
Front Porch 
Backyard
Off Ave Y 
Near Nostrand Ave, B36, B44 Bus, Blink Fitness, ALDI
For more information, please contact GSR",0
"We have a room available in dumbo Brooklyn, Sept. 1 Google it, awesome area.
The room has a closet and twin size bed and air conditioner
Now a little bit about the area, 5 minute walk to F train, which takes you to west village 4th St stop (transfers to, A,C,E,B,D,and M trains )in about 10 minutes, and to midtown in about 20. We are also about a 10 minute walk to A and C trains. Very safe, a lot of police patrol the area, cool restaurants and bars nearby. 
The apartment building has a doorman and the entrance to the building has a gate that closes at 8pm. Now a little about us, I am working at a bank, 9 to 6pm, russian girl, and Japanese girl who is works at a japanese 
Airline we are very quiet, we usually tone things down by 11 pm during the week

We all respect our space and privacy, absolutely no drugs, parties and absolutely no long-term guests. No pets 
And no couples need apply.

We are also very clean, dishes are done after eating/cooking. 

The rent includes all utilities and WiFi, and paper towels, soap, toilet paper etc. 1st month rent and deposit, we would like a 6 month minimum. 

Please contact me if you have any questions or need any other information about us.

Thanks,

Miguel",1
"Room for rent available immediately. Unfurnished. Close to buses. Quiet neighborhood. Light, heat, AC, WiFi, and private balcony included. Share bath and kitchen only. Job references. If interested, please call us at 
. Thank you.",0
"have a room available in dumbo Brooklyn, Sept .1 Google it, awesome area.
The room has a closet and twin size bed and air conditioner
Now a little bit about the area, 5 minute walk to F train, which takes you to west village 4th St stop (transfers to, A,C,E,B,D,and M trains )in about 10 minutes, and tomidtown in about 20. We are also about a 10 minute walk to A and C trains. Very safe, a lot of police patrol the area, cool restaurants and bars nearby.
The apartment building has a doorman and the entrance to the building has a gate that closes at 8pm. Now a little about us, I am working at a bank, 9 to 6pm, russian girl, and Japanese girl who is works at a japanese
Airline we are very quiet, we usually tone things down by 11 pm during the week

We all respect our space and privacy, absolutely no drugs, parties and absolutely no long-term guests. No pets 
And no couples need apply.

We are also very clean, dishes are done after eating/cooking.

The rent includes all utilities and WiFi, and paper towels, soap, toilet paper etc. 1st month rent and deposit, we would like a 6 month minimum.

Please contact me if you have any questions or need any other information about us.
do NOT contact me with unsolicited services or offers

Miguel",1
"If you're looking for a cozy place to stay in the big apple right in the center of Manhattan then welcome to my home! This cozy queen size private bedroom has a true city feeling, only a few minutes walk to the Empire State Building! The apartment is right in the heart of Manhattan, near Grand Central, Korea Town, Murray Hill, Madison Square Park and much more.
Laundry in the building, beautiful furnished rooftop with a view of the Chrysler Building, big supermarket is right across the street from the apartment, Deli right around the corner, Target only one block away and lots of restaurants and bars in the neighborhood!

In the pictures you can see the three rooms that are available Oct 1st, if you're interested please send me your email address so I can send you a video tour, thank you!",0
"We have a room available in dumbo Brooklyn, Sept 1 Google it, awesome area.
The room has a closet and twin size bed and air conditioner
Now a little bit about the area, 5 minute walk to F train, which takes you to west village 4th St stop (transfers to, A,C,E,B,D,and M trains )in about 10 minutes, and to midtown in about 20. We are also about a 10 minute walk to A and C trains. Very safe, a lot of police patrol the area, cool restaurants and bars nearby. 
The apartment building has a part time doorman and the entrance to the building has a gate that closes at 8pm. Now a little about us, I am working at a bank, 9 to 6pm, russian girl, and Japanese girl who is works at a japanese 
Airline we are very quiet, we usually tone things down by 11 pm during the week

We have 1 bathroom but it has never been an issue since most of us have different working hours. 

We all respect our space and privacy, absolutely no drugs, parties and absolutely no long-term guests. No pets 
And no couples need apply.

We are also very clean, dishes are done after eating/cooking. 

The rent includes all utilities and WiFi, and paper towels, soap, toilet paper etc. 1st month rent and deposit, we require a 6 month minimum. 

Please contact me if you have any questions or need any other information about us.

Thanks,

Miguel",1
"Link: Airbnb or Vrbo.
Weekend house. 
Mountains fresh air.
Cabin is located on the one of the Garrison trails, where u can walk, run, bike. 
We got 4 new bikes, volleyball net,
Badminton and war sport stuff for the outside activities.
U can enjoy great view and fresh air! 
9 people maximum occupancy. 
3.6 ml. away from The Garrison Golf Club ( wedding) 
There is 11 miles to Canopus mount beach complex and winter ski park 
3 ml. away from Cimarron Horse Ranch.
10 min away from Garrison train station.
1 h. from Manhattan.
$549 per night.",0
"In a nice residential area, cozy bedroom available on 2nd fl. of condominium. Size is 15'x10' plus closet. 3 persons share the kitchen and 1.5 bathrooms. Currently Conveniently located to everything, walking distance to the Shippan beach, Cummings park. Steps from public transportation. Reserved parking. The laundry is in the unit.
Looking for someone who is financially responsible, keeps our place clean. Perfect for busy students or young professionals. Security deposit required. 
Please email me if interested, write short info about yourself include your age and where you work.",1
"Cuartos son grandes y son amueblados. La casa es una casa privada multi-familiar en una calle bien callada y tranquila. La casa tiene camaras (Interior y Exterior), y el dueno vive en la casa. Renta incluye WiFi, todos canales Premium de Cable, HBO, Showtime, Cinemax, DVR.
 
La casa esta a 2 blockes del tren 2,5 a 20 minutos de Downtown NYC. Se busca personas responsable, limpia, ke gane minimo $ 500 despues de taxes por semana, y minimo 2 anos trabajando.

If you're interested, please email me for further details and provide a phone number. thanks for your inquiry!",1
"Large 1 Bedroom available in a house in Hollis Queens.
Away from everything but close to everything.
Must be okay with climbing stairs.
Preferably a male.
Must have proof of income.
Must be clean as you will be sharing kitchen and bathroom with others in the house.
No dogs or cats.
Please send email and I will reply with a rental application.

$200/week and 1 month Security Required and 1 Month Broker fee
Thank you!",0
"800 dollars a month for a room in a private house with 3 other bedrooms. Shared bathroom. Includes electricity and cable. This room has a brand new mattress if you need one, it can be removed if its not needed. Animals not ok. This is a drug and smoke free home, if this doesn't align with you, this place isn't for you. Must have the ability to clean after themselves, A MUST. This is a private house and the room is on the 4th floor. First month required and one month for security deposit which is returned back if room is left in the same condition in which we have provided to you. ID is required. If there are any questions, feel free to ask.",0
"Short term (up to one year) secure parking and storage for contractors, auto dealerships, limo companies etc. I represent three vacant properties all in the process of redevelopment. All have some indoor storage as well. Call Ron 203-four six one-0099 Price varies with how much space you take.",0
"Mixed-use property for sale $1,525,000 (7% cap rate). Very stable, tenants never leave. Four residential townhouses and two commercial tenants in separate building. Three parking lots, corner location. Everything in good condition. Call Ron 203-four six one-0099",0
"No broker's fee, apartment by owner. Staten Island, South Beach area, across the street from all direct X-buses to Manhattan (22 min to Downtown) and ocean beach with a 3 miles boardwalk, park with children playground, etc. 3 bedroom/1.5 bathroom 2nd & 3d floor duplex apartment. Fully furnished with a fully equipped kitchen. Short and long term leases welcome. Ideal for a family between the houses, 3 roommates, etc. 5 people maximum. No pets, no smoking inside, smoking on the porch OK. 1 car off street parking included.",0
"Short term (up to one year) secure parking and storage for contractors, auto dealerships, limo companies etc. I represent three vacant properties all in the process of redevelopment. All have some indoor storage as well. Call Ron 203-four six one-0099 Price varies with how much space you take.",0
"Office space and office suites at 76 Progress Drive. Huge parking lot. spaces from 500 - 3,000 SF. Larger spaces are $25/SF plus CAM. Prices for individual offices are $375 and up depending on size and location. Nice building. Well managed. Call Ron 203-four six one-0099",0
"Price: $112,900

Bedrooms: 4 (two 2/1 units)
Baths: 2
Year built: 1972
Total sq ft: 2,076
Exterior: Aluminum Siding
Taxes: $1,303.98
Septic/Sewer: City water & sewer
County: Mahoning
School District: Austintown Local Schools
Rent: $1250 ; all utilities paid by tenants
Gross ROI: % 13.28 @ $1250.00",1
"Huge divine room in gorgeous 3 bedroom unit! Very clean and fully furnished! Will not last - Looking for clean, considerate and friendly people to cohabit the space 

Short walk to the Halsey L stop and Close to Seneca M train 
Easy access to the city and a great neighborhood feel 

All utilities and wifi are just 50 dollars a month 
No pets or couples 

Dropped price! 
Please text richie on 3 1 5 3 8 5 1 4 4 4",1
"Spacious Studio in Perfect UES Location
Close to Transportation, Restaurants, Shopping,
Stainless Steel Appliances
Hardwood Flooring
Renovated bathroom
AC
Great Layout
NO FEE
One Month Free Rent offered to welcome new residents. Price advertised is net effective of 1 month free on a 12 month lease at $1,645 / gross rent is $1,795 ; however multiple lease terms may be available, so contact us to inquire about what you need!",1
"A Gorgeous 2-Bedroom Apartment In Prime Bed-Stuy. 

No BROKER Fee - 1 Year Lease

The Apartment Features Include:

- New, Luxury Renovation
- Open kitchen with New, Top-End Appliances
- Sun-Flooded Areas Throughout
- High-Powered Shower with 8 settings
- LED Lighting in Kitchen
- Laundry Room

THE NEIGHBORHOOD
- Saraghina Tapas
- Brooklyn Beso Latin American
- FIne Fare Supermarket
- Peaches Hot House Southern
- Associated Supermarket
- Citi Bike
- Mama Fox
- Solomons Porch

🚊 Short Walk To The A,C Trains

WHATS NEEDED
- Good Credit + 91k Income REQUIRED

TEXT ROB 3 4 7-9 2 2-8 2 5 1

Video Here --- https://www.youtube.com/watch?v=4DnDe-LyaQ0""",1
"5,000 SF lot approved for garden center for sale $475,000. Specifically approved for sale of plants, Christmas trees, mulch, gravel, salt (in product bins) and storage of trucks & equipment. There is no competition on this side of Stamford for this type of business! Call Ron 203-four six one -0099",0
"One bedroom apartment located on E73st. Large living room with high ceilings. Located steps away from the Q train and near many restaurants and bars. One floor walk up. No laundry in building, but many places nearby. This is a lease takeover until December 31st 2020, which requires formal application, $20 app fee, and credit check. Price is non-negotiable. Utilities not included. Can be furnished with couch and bed. Move in date Sept 1st. Message to schedule a viewing!",1
